# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
43 0 1 0 10000 0 false
47 0 2 0 10000 0 false
48 0 3 0 10000 0 false
53 0 4 50 10000 50 false
53 0 5 50 10000 50 false
56 0 6 50 100 50 false
56 0 7 50 100 50 false
59 0 8 100 100 100 false
59 0 9 100 100 100 false
61 0 10 100 100 100 false
61 0 11 100 100 100 false
63 0 12 0 10000 0 false
63 0 13 0 10000 0 false
64 0 14 0 10000 0 false
65 0 15 0 10000 0 false
66 0 16 0 10000 0 false
66 0 17 0 10000 0 false
86 0 18 50 10000 50 false
87 0 19 50 10000 50 false
87 0 20 50 10000 50 false
87 0 21 50 10000 50 false
88 0 22 50 10000 50 false
88 0 23 50 10000 50 false
88 0 24 50 100 50 false
89 0 25 50 100 50 false
89 0 26 50 100 50 false
89 0 27 50 100 50 false
90 0 28 100 100 100 false
101 0 29 100 100 100 false
103 0 30 30 30 30 false
113 0 31 30 30 30 false
113 0 32 30 30 30 false
114 0 33 30 30 30 false
126 0 34 30 30 30 false
126 0 35 30 30 30 false
143 0 36 50 10000 70 false
143 0 37 50 10000 70 false
144 0 38 50 100 70 false
144 0 39 50 100 70 false
166 0 40 50 100 70 false
166 0 41 50 100 70 false
193 0 42 100 100 100 false
193 0 43 100 100 100 false
205 0 44 30 30 30 false
205 0 45 30 30 30 false
216 0 46 30 30 30 false
216 0 47 30 30 30 false
235 0 48 30 30 30 false
246 0 49 30 30 30 false
