# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
86 0 1 0 10000 0 false
111 0 2 0 10000 0 false
111 0 3 0 10000 0 false
134 0 4 0 10000 0 false
134 0 5 0 10000 0 false
175 0 6 0 10000 0 false
175 0 7 0 10000 0 false
217 0 8 0 10000 0 false
217 0 9 0 10000 0 false
260 0 10 1 10000 1 false
260 0 11 1 10000 1 false
281 0 12 0 10000 0 false
281 0 13 0 10000 0 false
303 0 14 0 10000 0 false
303 0 15 0 10000 0 false
324 0 16 0 10000 0 false
324 0 17 0 10000 0 false
351 0 18 0 10000 0 false
351 0 19 0 10000 0 false
375 0 20 0 10000 0 false
375 0 21 0 10000 0 false
391 0 22 0 10000 0 false
391 0 23 0 10000 0 false
406 0 24 0 10000 0 false
406 0 25 0 10000 0 false
422 0 26 1 10000 1 false
422 0 27 1 10000 1 false
438 0 28 0 10000 1 false
438 0 29 0 10000 1 false
455 0 30 0 10000 1 false
455 0 31 0 10000 1 false
471 0 32 0 10000 0 false
471 0 33 0 10000 0 false
487 0 34 0 10000 1 false
487 0 35 0 10000 1 false
503 0 36 0 10000 0 false
503 0 37 0 10000 0 false
528 0 38 0 10000 0 false
528 0 39 0 10000 0 false
549 0 40 0 10000 0 false
549 0 41 0 10000 0 false
582 0 42 1 10000 1 false
582 0 43 1 10000 1 false
609 0 44 1 10000 1 false
609 0 45 1 10000 1 false
629 0 46 0 10000 1 false
629 0 47 0 10000 1 false
645 0 48 0 10000 1 false
645 0 49 0 10000 1 false
661 0 50 0 10000 1 false
661 0 51 0 10000 1 false
677 0 52 0 10000 0 false
677 0 53 0 10000 0 false
701 0 54 0 10000 0 false
701 0 55 0 10000 0 false
724 0 56 0 10000 1 false
724 0 57 0 10000 1 false
744 0 58 0 10000 0 false
744 0 59 0 10000 0 false
760 0 60 0 10000 0 false
760 0 61 0 10000 0 false
776 0 62 0 4 0 false
776 0 63 0 4 0 false
791 0 64 0 10000 1 false
791 0 65 0 10000 1 false
807 0 66 0 10000 1 false
807 0 67 0 10000 1 false
824 0 68 0 10000 1 false
824 0 69 0 10000 1 false
843 0 70 0 10000 1 false
843 0 71 0 10000 1 false
860 0 72 0 10000 1 false
860 0 73 0 10000 1 false
876 0 74 0 10000 1 false
876 0 75 0 10000 1 false
892 0 76 0 10000 1 false
892 0 77 0 10000 1 false
908 0 78 0 10000 1 false
908 0 79 0 10000 1 false
923 0 80 0 10000 0 false
923 0 81 0 10000 0 false
941 0 82 0 10000 0 false
941 0 83 0 10000 0 false
957 0 84 1 10000 1 false
957 0 85 1 10000 1 false
973 0 86 1 10000 1 false
973 0 87 1 10000 1 false
988 0 88 1 10000 1 false
988 0 89 1 10000 1 false
1009 0 90 0 10000 1 false
1009 0 91 0 10000 1 false
1037 0 92 1 10000 1 false
1037 0 93 1 10000 1 false
1062 0 94 1 10000 1 false
1062 0 95 1 10000 1 false
1081 0 96 1 10000 1 false
1081 0 97 1 10000 1 false
1103 0 98 1 10000 1 false
1103 0 99 1 10000 1 false
1118 0 100 0 10000 0 false
1118 0 101 0 10000 0 false
1134 0 102 0 10000 0 false
1134 0 103 0 10000 0 false
1149 0 104 0 10000 0 false
1149 0 105 0 10000 0 false
1164 0 106 1 10000 1 false
1164 0 107 1 10000 1 false
1181 0 108 0 10000 1 false
1181 0 109 0 10000 1 false
1209 0 110 0 10000 1 false
1209 0 111 0 10000 1 false
1240 0 112 1 10000 1 false
1240 0 113 1 10000 1 false
1273 0 114 1 10000 1 false
1273 0 115 1 10000 1 false
1294 0 116 0 10000 1 false
1294 0 117 0 10000 1 false
1312 0 118 0 10000 1 false
1312 0 119 0 10000 1 false
1328 0 120 0 10000 0 false
1329 0 121 0 10000 0 false
1345 0 122 0 10000 1 false
1345 0 123 0 10000 1 false
1363 0 124 0 10000 1 false
1363 0 125 0 10000 1 false
1382 0 126 0 10000 1 false
1382 0 127 0 10000 1 false
1399 0 128 1 10000 1 false
1399 0 129 1 10000 1 false
1414 0 130 1 10000 1 false
1414 0 131 1 10000 1 false
