# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
91 0 1 0 10000 0 false
91 0 2 0 10000 0 false
91 0 3 0 10000 0 false
91 0 4 0 10000 0 false
91 0 5 0 10000 0 false
130 0 6 0 10000 0 false
130 0 7 0 10000 0 false
130 0 8 0 10000 0 false
130 0 9 0 10000 0 false
130 0 10 0 10000 0 false
130 0 11 0 10000 0 false
164 0 12 0 10000 0 false
164 0 13 0 10000 0 false
164 0 14 0 10000 0 false
164 0 15 0 10000 0 false
164 0 16 0 10000 0 false
164 0 17 0 10000 0 false
202 0 18 0 10000 0 false
202 0 19 0 10000 0 false
202 0 20 0 10000 0 false
202 0 21 0 10000 0 false
202 0 22 0 10000 0 false
202 0 23 0 10000 0 false
249 0 24 0 10000 0 false
250 0 25 0 10000 0 false
250 0 26 0 10000 0 false
250 0 27 0 10000 0 false
250 0 28 0 10000 0 false
250 0 29 0 10000 0 false
275 0 30 0 10000 0 false
275 0 31 0 10000 0 false
275 0 32 0 10000 0 false
275 0 33 0 10000 0 false
275 0 34 0 10000 0 false
275 0 35 0 10000 0 false
296 0 36 0 10000 0 false
297 0 37 0 10000 0 false
297 0 38 0 10000 0 false
297 0 39 0 10000 0 false
297 0 40 0 10000 0 false
297 0 41 0 10000 0 false
317 0 42 0 10000 0 false
317 0 43 0 10000 0 false
317 0 44 0 10000 0 false
317 0 45 0 10000 0 false
317 0 46 0 10000 0 false
317 0 47 0 10000 0 false
344 0 48 1 10000 1 false
344 0 49 1 10000 1 false
344 0 50 1 10000 1 false
344 0 51 1 10000 1 false
344 0 52 1 10000 1 false
344 0 53 1 10000 1 false
371 0 54 1 10000 1 false
371 0 55 1 10000 1 false
371 0 56 1 10000 1 false
371 0 57 1 10000 1 false
371 0 58 1 10000 1 false
371 0 59 1 10000 1 false
386 0 60 1 10000 1 false
386 0 61 1 10000 1 false
386 0 62 1 10000 1 false
386 0 63 1 10000 1 false
386 0 64 1 10000 1 false
386 0 65 1 10000 1 false
402 0 66 1 10000 1 false
402 0 67 1 10000 1 false
402 0 68 1 10000 1 false
