# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
87 0 1 0 10000 0 false
88 0 2 0 10000 0 false
122 0 3 0 10000 0 false
122 0 4 0 10000 0 false
122 0 5 0 10000 0 false
140 0 6 0 10000 0 false
141 0 7 0 10000 0 false
141 0 8 0 10000 0 false
182 0 9 0 10000 0 false
182 0 10 0 10000 0 false
183 0 11 0 10000 0 false
232 0 12 0 10000 0 false
232 0 13 0 10000 0 false
232 0 14 0 10000 0 false
266 0 15 1 10000 1 false
266 0 16 1 10000 1 false
266 0 17 1 10000 1 false
287 0 18 1 2 1 false
287 0 19 1 2 1 false
287 0 20 1 2 1 false
308 0 21 1 10000 1 false
308 0 22 1 10000 1 false
308 0 23 1 10000 1 false
330 0 24 0 4 0 false
330 0 25 0 4 0 false
330 0 26 0 4 0 false
359 0 27 0 2 1 false
359 0 28 0 2 1 false
359 0 29 0 2 1 false
379 0 30 0 0 0 false
379 0 31 0 0 0 false
379 0 32 0 0 0 false
395 0 33 1 10000 1 false
395 0 34 1 10000 1 false
395 0 35 1 10000 1 false
411 0 36 1 1 1 false
411 0 37 1 1 1 false
411 0 38 1 1 1 false
426 0 39 1 1 1 false
426 0 40 1 1 1 false
426 0 41 1 1 1 false
442 0 42 0 10000 1 false
442 0 43 0 10000 1 false
442 0 44 0 10000 1 false
459 0 45 1 10000 1 false
459 0 46 1 10000 1 false
459 0 47 1 10000 1 false
476 0 48 1 3 1 false
476 0 49 1 3 1 false
476 0 50 1 3 1 false
492 0 51 1 4 1 false
492 0 52 1 4 1 false
492 0 53 1 4 1 false
510 0 54 0 2 0 false
510 0 55 0 2 0 false
510 0 56 0 2 0 false
534 0 57 0 1 1 false
534 0 58 0 1 1 false
534 0 59 0 1 1 false
555 0 60 0 0 0 false
556 0 61 0 0 0 false
556 0 62 0 0 0 false
590 0 63 0 10000 1 false
590 0 64 0 10000 1 false
590 0 65 0 10000 1 false
617 0 66 0 0 0 false
617 0 67 0 0 0 false
617 0 68 0 0 0 false
634 0 69 1 2 1 false
634 0 70 1 2 1 false
634 0 71 1 2 1 false
650 0 72 1 2 1 false
650 0 73 1 2 1 false
650 0 74 1 2 1 false
665 0 75 0 2 1 false
665 0 76 0 2 1 false
666 0 77 0 2 1 false
685 0 78 0 10000 1 false
685 0 79 0 10000 1 false
685 0 80 0 10000 1 false
708 0 81 1 2 1 false
708 0 82 1 2 1 false
708 0 83 1 2 1 false
730 0 84 1 1 1 false
730 0 85 1 1 1 false
730 0 86 1 1 1 false
748 0 87 1 1 1 false
748 0 88 1 1 1 false
748 0 89 1 1 1 false
764 0 90 0 0 0 false
764 0 91 0 0 0 false
764 0 92 0 0 0 false
780 0 93 0 0 0 false
780 0 94 0 0 0 false
780 0 95 0 0 0 false
795 0 96 0 0 0 false
795 0 97 0 0 0 false
795 0 98 0 0 0 false
811 0 99 0 0 0 false
811 0 100 0 0 0 false
811 0 101 0 0 0 false
829 0 102 0 0 0 false
829 0 103 0 0 0 false
829 0 104 0 0 0 false
849 0 105 1 1 1 false
849 0 106 1 1 1 false
849 0 107 1 1 1 false
865 0 108 0 10000 0 false
865 0 109 0 10000 0 false
865 0 110 0 10000 0 false
881 0 111 1 10000 1 false
881 0 112 1 10000 1 false
881 0 113 1 10000 1 false
896 0 114 1 3 1 false
896 0 115 1 3 1 false
896 0 116 1 3 1 false
912 0 117 1 10000 1 false
912 0 118 1 10000 1 false
912 0 119 1 10000 1 false
928 0 120 0 4 1 false
928 0 121 0 4 1 false
928 0 122 0 4 1 false
946 0 123 0 10000 1 false
946 0 124 0 10000 1 false
946 0 125 0 10000 1 false
962 0 126 1 4 1 false
962 0 127 1 4 1 false
962 0 128 1 4 1 false
978 0 129 0 10000 0 false
978 0 130 0 10000 0 false
978 0 131 0 10000 0 false
993 0 132 1 2 1 false
993 0 133 1 2 1 false
993 0 134 1 2 1 false
1017 0 135 0 3 0 false
1017 0 136 0 3 0 false
1017 0 137 0 3 0 false
1045 0 138 0 10000 1 false
1045 0 139 0 10000 1 false
1045 0 140 0 10000 1 false
1067 0 141 0 1 0 false
1067 0 142 0 1 0 false
1067 0 143 0 1 0 false
1089 0 144 1 2 1 false
1090 0 145 1 2 1 false
1090 0 146 1 2 1 false
1108 0 147 1 10000 1 false
1108 0 148 1 10000 1 false
1108 0 149 1 10000 1 false
1123 0 150 1 1 1 false
1123 0 151 1 1 1 false
1123 0 152 1 1 1 false
1138 0 153 0 10000 0 false
1138 0 154 0 10000 0 false
1138 0 155 0 10000 0 false
1153 0 156 0 1 0 false
1153 0 157 0 1 0 false
1153 0 158 0 1 0 false
1168 0 159 0 10000 0 false
1168 0 160 0 10000 0 false
1168 0 161 0 10000 0 false
1186 0 162 0 0 0 false
1186 0 163 0 0 0 false
1186 0 164 0 0 0 false
1217 0 165 1 10000 1 false
1217 0 166 1 10000 1 false
1217 0 167 1 10000 1 false
1251 0 168 1 1 1 false
1251 0 169 1 1 1 false
1251 0 170 1 1 1 false
1278 0 171 0 10000 0 false
1278 0 172 0 10000 0 false
1278 0 173 0 10000 0 false
1300 0 174 1 2 1 false
1300 0 175 1 2 1 false
1300 0 176 1 2 1 false
1317 0 177 1 10000 1 false
1317 0 178 1 10000 1 false
1317 0 179 1 10000 1 false
1333 0 180 0 10000 0 false
1333 0 181 0 10000 0 false
1333 0 182 0 10000 0 false
1350 0 183 0 10000 0 false
1350 0 184 0 10000 0 false
1350 0 185 0 10000 0 false
1368 0 186 1 1 1 false
1368 0 187 1 1 1 false
1368 0 188 1 1 1 false
1387 0 189 1 1 1 false
1387 0 190 1 1 1 false
1387 0 191 1 1 1 false
1403 0 192 1 1 1 false
1403 0 193 1 1 1 false
1403 0 194 1 1 1 false
1419 0 195 1 10000 1 false
1419 0 196 1 10000 1 false
1419 0 197 1 10000 1 false
1435 0 198 1 1 1 false
1435 0 199 1 1 1 false
1435 0 200 1 1 1 false
1451 0 201 1 10000 1 false
1451 0 202 1 10000 1 false
1451 0 203 1 10000 1 false
1466 0 204 0 3 0 false
1466 0 205 0 3 0 false
1466 0 206 0 3 0 false
1482 0 207 0 0 0 false
1482 0 208 0 0 0 false
1482 0 209 0 0 0 false
1497 0 210 0 0 0 false
1497 0 211 0 0 0 false
1497 0 212 0 0 0 false
1518 0 213 0 10000 0 false
1518 0 214 0 10000 0 false
1518 0 215 0 10000 0 false
1540 0 216 1 10000 1 false
1540 0 217 1 10000 1 false
1540 0 218 1 10000 1 false
1557 0 219 1 1 1 false
1557 0 220 1 1 1 false
1557 0 221 1 1 1 false
1577 0 222 1 1 1 false
1577 0 223 1 1 1 false
1577 0 224 1 1 1 false
1594 0 225 0 1 0 false
1594 0 226 0 1 0 false
1594 0 227 0 1 0 false
1610 0 228 0 0 0 false
1610 0 229 0 0 0 false
1610 0 230 0 0 0 false
1626 0 231 0 0 0 false
1626 0 232 0 0 0 false
1626 0 233 0 0 0 false
1642 0 234 0 0 0 false
1642 0 235 0 0 0 false
1642 0 236 0 0 0 false
1657 0 237 0 0 0 false
1657 0 238 0 0 0 false
1657 0 239 0 0 0 false
1675 0 240 0 0 0 false
1675 0 241 0 0 0 false
1675 0 242 0 0 0 false
1692 0 243 0 0 0 false
1692 0 244 0 0 0 false
1692 0 245 0 0 0 false
1708 0 246 0 0 0 false
1708 0 247 0 0 0 false
1708 0 248 0 0 0 false
1725 0 249 0 0 0 false
1725 0 250 0 0 0 false
1725 0 251 0 0 0 false
1741 0 252 0 0 0 false
1741 0 253 0 0 0 false
1741 0 254 0 0 0 false
1758 0 255 0 0 0 false
1758 0 256 0 0 0 false
1758 0 257 0 0 0 false
1775 0 258 1 1 1 false
1775 0 259 1 1 1 false
1775 0 260 1 1 1 false
1791 0 261 1 1 1 false
1791 0 262 1 1 1 false
1791 0 263 1 1 1 false
1809 0 264 1 1 1 false
1809 0 265 1 1 1 false
1809 0 266 1 1 1 false
1825 0 267 1 1 1 false
1825 0 268 1 1 1 false
1825 0 269 1 1 1 false
1842 0 270 1 1 1 false
1842 0 271 1 1 1 false
1842 0 272 1 1 1 false
1864 0 273 1 1 1 false
1864 0 274 1 1 1 false
1864 0 275 1 1 1 false
1881 0 276 0 0 0 false
1881 0 277 0 0 0 false
1881 0 278 0 0 0 false
1898 0 279 0 0 0 false
1898 0 280 0 0 0 false
1898 0 281 0 0 0 false
1915 0 282 0 0 0 false
1915 0 283 0 0 0 false
1915 0 284 0 0 0 false
1934 0 285 0 0 0 false
1934 0 286 0 0 0 false
1934 0 287 0 0 0 false
1950 0 288 0 0 0 false
1950 0 289 0 0 0 false
1950 0 290 0 0 0 false
1966 0 291 0 0 0 false
1966 0 292 0 0 0 false
1966 0 293 0 0 0 false
1982 0 294 0 0 0 false
1982 0 295 0 0 0 false
1982 0 296 0 0 0 false
1998 0 297 0 0 0 false
1998 0 298 0 0 0 false
1998 0 299 0 0 0 false
2014 0 300 0 0 0 false
2014 0 301 0 0 0 false
2014 0 302 0 0 0 false
2030 0 303 0 10000 0 false
2030 0 304 0 10000 0 false
2030 0 305 0 10000 0 false
2046 0 306 0 0 0 false
2046 0 307 0 0 0 false
2046 0 308 0 0 0 false
2064 0 309 0 10000 0 false
2064 0 310 0 10000 0 false
2064 0 311 0 10000 0 false
2082 0 312 0 0 0 false
2082 0 313 0 0 0 false
2082 0 314 0 0 0 false
2100 0 315 0 0 0 false
2100 0 316 0 0 0 false
2100 0 317 0 0 0 false
2116 0 318 0 0 0 false
2116 0 319 0 0 0 false
2116 0 320 0 0 0 false
2133 0 321 0 10000 0 false
2133 0 322 0 10000 0 false
2133 0 323 0 10000 0 false
2149 0 324 1 1 1 false
2149 0 325 1 1 1 false
2149 0 326 1 1 1 false
2165 0 327 0 0 0 false
2165 0 328 0 0 0 false
2165 0 329 0 0 0 false
2181 0 330 0 1 0 false
2181 0 331 0 1 0 false
2181 0 332 0 1 0 false
2201 0 333 0 10000 0 false
2201 0 334 0 10000 0 false
2201 0 335 0 10000 0 false
2222 0 336 0 10000 0 false
2222 0 337 0 10000 0 false
2222 0 338 0 10000 0 false
2239 0 339 1 1 1 false
2239 0 340 1 1 1 false
2239 0 341 1 1 1 false
2255 0 342 1 1 1 false
2255 0 343 1 1 1 false
2255 0 344 1 1 1 false
2272 0 345 1 10000 1 false
2272 0 346 1 10000 1 false
2272 0 347 1 10000 1 false
2289 0 348 1 2 1 false
2289 0 349 1 2 1 false
2289 0 350 1 2 1 false
2306 0 351 0 0 0 false
2306 0 352 0 0 0 false
2306 0 353 0 0 0 false
2324 0 354 0 0 0 false
2324 0 355 0 0 0 false
