# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
90 0 1 0 10000 0 false
90 0 2 0 10000 0 false
90 0 3 0 10000 0 false
128 0 4 0 10000 0 false
128 0 5 0 10000 0 false
128 0 6 0 10000 0 false
128 0 7 0 10000 0 false
156 0 8 0 10000 0 false
156 0 9 0 10000 0 false
156 0 10 0 10000 0 false
156 0 11 0 10000 0 false
197 0 12 1 10000 1 false
197 0 13 1 10000 1 false
197 0 14 1 10000 1 false
197 0 15 1 10000 1 false
244 0 16 0 10000 0 false
244 0 17 0 10000 0 false
244 0 18 0 10000 0 false
245 0 19 0 10000 0 false
272 0 20 0 10000 0 false
272 0 21 0 10000 0 false
272 0 22 0 10000 0 false
272 0 23 0 10000 0 false
294 0 24 0 10000 0 false
294 0 25 0 10000 0 false
294 0 26 0 10000 0 false
294 0 27 0 10000 0 false
315 0 28 1 10000 1 false
315 0 29 1 10000 1 false
315 0 30 1 10000 1 false
315 0 31 1 10000 1 false
339 0 32 1 10000 1 false
339 0 33 1 10000 1 false
339 0 34 1 10000 1 false
339 0 35 1 10000 1 false
367 0 36 1 10000 1 false
367 0 37 1 10000 1 false
367 0 38 1 10000 1 false
367 0 39 1 10000 1 false
384 0 40 1 10000 1 false
384 0 41 1 10000 1 false
384 0 42 1 10000 1 false
384 0 43 1 10000 1 false
400 0 44 1 10000 1 false
400 0 45 1 10000 1 false
400 0 46 1 10000 1 false
400 0 47 1 10000 1 false
415 0 48 1 10000 1 false
415 0 49 1 10000 1 false
415 0 50 1 10000 1 false
415 0 51 1 10000 1 false
431 0 52 1 10000 1 false
431 0 53 1 10000 1 false
431 0 54 1 10000 1 false
431 0 55 1 10000 1 false
446 0 56 0 10000 0 false
446 0 57 0 10000 0 false
446 0 58 0 10000 0 false
446 0 59 0 10000 0 false
464 0 60 0 10000 0 false
464 0 61 0 10000 0 false
464 0 62 0 10000 0 false
464 0 63 0 10000 0 false
480 0 64 0 10000 0 false
480 0 65 0 10000 0 false
480 0 66 0 10000 0 false
480 0 67 0 10000 0 false
496 0 68 1 10000 1 false
496 0 69 1 10000 1 false
496 0 70 1 10000 1 false
496 0 71 1 10000 1 false
517 0 72 1 10000 1 false
517 0 73 1 10000 1 false
517 0 74 1 10000 1 false
517 0 75 1 10000 1 false
540 0 76 1 10000 1 false
540 0 77 1 10000 1 false
540 0 78 1 10000 1 false
540 0 79 1 10000 1 false
566 0 80 1 10000 1 false
566 0 81 1 10000 1 false
566 0 82 1 10000 1 false
566 0 83 1 10000 1 false
597 0 84 1 10000 1 false
598 0 85 1 10000 1 false
598 0 86 1 10000 1 false
598 0 87 1 10000 1 false
622 0 88 1 10000 1 false
622 0 89 1 10000 1 false
622 0 90 1 10000 1 false
622 0 91 1 10000 1 false
638 0 92 1 10000 1 false
638 0 93 1 10000 1 false
638 0 94 1 10000 1 false
638 0 95 1 10000 1 false
654 0 96 0 10000 1 false
654 0 97 0 10000 1 false
654 0 98 0 10000 1 false
654 0 99 0 10000 1 false
670 0 100 0 10000 1 false
670 0 101 0 10000 1 false
670 0 102 0 10000 1 false
670 0 103 0 10000 1 false
691 0 104 0 10000 0 false
691 0 105 0 10000 0 false
691 0 106 0 10000 0 false
691 0 107 0 10000 0 false
714 0 108 0 10000 0 false
714 0 109 0 10000 0 false
714 0 110 0 10000 0 false
714 0 111 0 10000 0 false
736 0 112 0 10000 0 false
736 0 113 0 10000 0 false
736 0 114 0 10000 0 false
736 0 115 0 10000 0 false
753 0 116 1 10000 1 false
753 0 117 1 10000 1 false
753 0 118 1 10000 1 false
753 0 119 1 10000 1 false
769 0 120 1 10000 1 false
769 0 121 1 10000 1 false
769 0 122 1 10000 1 false
769 0 123 1 10000 1 false
784 0 124 1 10000 1 false
784 0 125 1 10000 1 false
784 0 126 1 10000 1 false
784 0 127 1 10000 1 false
