# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
87 0 1 0 10000 0 false
87 0 2 0 10000 0 false
87 0 3 0 10000 0 false
87 0 4 0 10000 0 false
118 0 5 0 10000 0 false
118 0 6 0 10000 0 false
118 0 7 0 10000 0 false
118 0 8 0 10000 0 false
118 0 9 0 10000 0 false
137 0 10 0 10000 0 false
137 0 11 0 10000 0 false
137 0 12 0 10000 0 false
137 0 13 0 10000 0 false
137 0 14 0 10000 0 false
178 0 15 0 10000 0 false
178 0 16 0 10000 0 false
178 0 17 0 10000 0 false
178 0 18 0 10000 0 false
178 0 19 0 10000 0 false
226 0 20 0 10000 0 false
226 0 21 0 10000 0 false
226 0 22 0 10000 0 false
226 0 23 0 10000 0 false
226 0 24 0 10000 0 false
263 0 25 0 10000 0 false
263 0 26 0 10000 0 false
263 0 27 0 10000 0 false
263 0 28 0 10000 0 false
263 0 29 0 10000 0 false
284 0 30 1 10000 1 false
284 0 31 1 10000 1 false
284 0 32 1 10000 1 false
284 0 33 1 10000 1 false
284 0 34 1 10000 1 false
306 0 35 1 10000 1 false
306 0 36 1 10000 1 false
306 0 37 1 10000 1 false
306 0 38 1 10000 1 false
306 0 39 1 10000 1 false
327 0 40 1 10000 1 false
327 0 41 1 10000 1 false
327 0 42 1 10000 1 false
327 0 43 1 10000 1 false
327 0 44 1 10000 1 false
355 0 45 1 10000 1 false
355 0 46 1 10000 1 false
355 0 47 1 10000 1 false
355 0 48 1 10000 1 false
355 0 49 1 10000 1 false
377 0 50 1 10000 1 false
377 0 51 1 10000 1 false
377 0 52 1 10000 1 false
377 0 53 1 10000 1 false
377 0 54 1 10000 1 false
393 0 55 1 10000 1 false
393 0 56 1 10000 1 false
393 0 57 1 10000 1 false
393 0 58 1 10000 1 false
393 0 59 1 10000 1 false
409 0 60 1 10000 1 false
409 0 61 1 10000 1 false
409 0 62 1 10000 1 false
409 0 63 1 10000 1 false
409 0 64 1 10000 1 false
424 0 65 0 10000 0 false
424 0 66 0 10000 0 false
424 0 67 0 10000 0 false
424 0 68 0 10000 0 false
424 0 69 0 10000 0 false
440 0 70 0 10000 0 false
440 0 71 0 10000 0 false
440 0 72 0 10000 0 false
440 0 73 0 10000 0 false
440 0 74 0 10000 0 false
457 0 75 0 10000 0 false
457 0 76 0 10000 0 false
457 0 77 0 10000 0 false
458 0 78 0 10000 0 false
458 0 79 0 10000 0 false
473 0 80 1 10000 1 false
473 0 81 1 10000 1 false
473 0 82 1 10000 1 false
473 0 83 1 10000 1 false
473 0 84 1 10000 1 false
489 0 85 1 10000 1 false
489 0 86 1 10000 1 false
489 0 87 1 10000 1 false
489 0 88 1 10000 1 false
489 0 89 1 10000 1 false
507 0 90 1 10000 1 false
507 0 91 1 10000 1 false
507 0 92 1 10000 1 false
507 0 93 1 10000 1 false
507 0 94 1 10000 1 false
531 0 95 1 10000 1 false
531 0 96 1 10000 1 false
531 0 97 1 10000 1 false
531 0 98 1 10000 1 false
531 0 99 1 10000 1 false
552 0 100 1 10000 1 false
552 0 101 1 10000 1 false
552 0 102 1 10000 1 false
552 0 103 1 10000 1 false
552 0 104 1 10000 1 false
586 0 105 1 10000 1 false
586 0 106 1 10000 1 false
586 0 107 1 10000 1 false
586 0 108 1 10000 1 false
586 0 109 1 10000 1 false
614 0 110 1 10000 1 false
614 0 111 1 10000 1 false
614 0 112 1 10000 1 false
614 0 113 1 10000 1 false
614 0 114 1 10000 1 false
632 0 115 0 10000 1 false
632 0 116 0 10000 1 false
632 0 117 0 10000 1 false
632 0 118 0 10000 1 false
632 0 119 0 10000 1 false
647 0 120 0 10000 1 false
647 0 121 0 10000 1 false
647 0 122 0 10000 1 false
647 0 123 0 10000 1 false
647 0 124 0 10000 1 false
663 0 125 1 10000 1 false
663 0 126 1 10000 1 false
663 0 127 1 10000 1 false
663 0 128 1 10000 1 false
663 0 129 1 10000 1 false
679 0 130 1 10000 1 false
679 0 131 1 10000 1 false
679 0 132 1 10000 1 false
679 0 133 1 10000 1 false
679 0 134 1 10000 1 false
704 0 135 0 10000 0 false
705 0 136 0 10000 0 false
705 0 137 0 10000 0 false
705 0 138 0 10000 0 false
705 0 139 0 10000 0 false
727 0 140 1 10000 1 false
727 0 141 1 10000 1 false
727 0 142 1 10000 1 false
727 0 143 1 10000 1 false
727 0 144 1 10000 1 false
746 0 145 1 10000 1 false
746 0 146 1 10000 1 false
746 0 147 1 10000 1 false
746 0 148 1 10000 1 false
746 0 149 1 10000 1 false
762 0 150 1 10000 1 false
