# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
38 0 1 0 10000 0 false
46 0 2 0 10000 0 false
46 0 3 0 10000 0 false
53 0 4 0 10000 0 false
53 0 5 0 10000 0 false
60 0 6 0 10000 0 false
60 0 7 0 10000 0 false
70 0 8 0 3 0 false
70 0 9 0 3 0 false
75 0 10 0 3 0 false
75 0 11 0 3 0 false
79 0 12 0 0 0 false
79 0 13 0 0 0 false
83 0 14 0 0 0 false
83 0 15 0 0 0 false
86 0 16 0 0 0 false
86 0 17 0 0 0 false
89 0 18 0 0 0 false
89 0 19 0 0 0 false
91 0 20 0 0 0 false
91 0 21 0 0 0 false
