# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
42 0 1 0 10000 0 false
55 0 2 0 10000 0 false
55 0 3 0 10000 0 false
56 0 4 0 10000 0 false
56 0 5 0 10000 0 false
57 0 6 0 10000 0 false
57 0 7 0 10000 0 false
58 0 8 0 10000 0 false
58 0 9 0 10000 0 false
70 0 10 0 10000 0 false
70 0 11 0 10000 0 false
92 0 12 0 0 0 false
93 0 13 0 0 0 false
104 0 14 0 0 0 false
104 0 15 0 0 0 false
104 0 16 0 0 0 false
104 0 17 0 0 0 false
115 0 18 1 10000 1 false
115 0 19 1 10000 1 false
130 0 20 0 10000 0 false
130 0 21 0 10000 0 false
153 0 22 1 10000 1 false
153 0 23 1 10000 1 false
185 0 24 0 10000 1 false
185 0 25 0 10000 1 false
197 0 26 1 10000 1 false
197 0 27 1 10000 1 false
212 0 28 1 10000 1 false
212 0 29 1 10000 1 false
226 0 30 1 10000 1 false
226 0 31 1 10000 1 false
252 0 32 1 2 1 false
252 0 33 1 2 1 false
274 0 34 1 10000 1 false
275 0 35 1 10000 1 false
290 0 36 1 10000 1 false
290 0 37 1 10000 1 false
321 0 38 0 4 0 false
321 0 39 0 4 0 false
334 0 40 1 10000 1 false
334 0 41 1 10000 1 false
346 0 42 1 10000 1 false
346 0 43 1 10000 1 false
370 0 44 1 10000 1 false
370 0 45 1 10000 1 false
413 0 46 1 1 1 false
413 0 47 1 1 1 false
428 0 48 0 10000 0 false
428 0 49 0 10000 0 false
457 0 50 0 10000 0 false
457 0 51 0 10000 0 false
478 0 52 0 10000 0 false
478 0 53 0 10000 0 false
491 0 54 0 0 0 false
491 0 55 0 0 0 false
507 0 56 0 0 0 false
508 0 57 0 0 0 false
559 0 58 0 0 0 false
559 0 59 0 0 0 false
572 0 60 0 0 0 false
572 0 61 0 0 0 false
