# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
86 0 1 0 10000 0 false
114 0 2 0 10000 0 false
114 0 3 0 10000 0 false
135 0 4 0 10000 0 false
135 0 5 0 10000 0 false
176 0 6 0 10000 0 false
176 0 7 0 10000 0 false
219 0 8 1 10000 1 false
220 0 9 1 10000 1 false
261 0 10 0 10000 0 false
261 0 11 0 10000 0 false
282 0 12 0 10000 1 false
282 0 13 0 10000 1 false
304 0 14 0 10000 0 false
304 0 15 0 10000 0 false
325 0 16 0 10000 0 false
325 0 17 0 10000 0 false
353 0 18 0 10000 0 false
353 0 19 0 10000 0 false
376 0 20 0 10000 0 false
376 0 21 0 10000 0 false
392 0 22 0 4 0 false
392 0 23 0 4 0 false
407 0 24 0 2 0 false
407 0 25 0 2 0 false
423 0 26 0 0 0 false
423 0 27 0 0 0 false
439 0 28 0 10000 0 false
439 0 29 0 10000 0 false
456 0 30 0 10000 0 false
456 0 31 0 10000 0 false
472 0 32 0 10000 1 false
472 0 33 0 10000 1 false
488 0 34 0 10000 0 false
488 0 35 0 10000 0 false
505 0 36 0 10000 1 false
505 0 37 0 10000 1 false
530 0 38 0 10000 0 false
530 0 39 0 10000 0 false
550 0 40 1 10000 1 false
550 0 41 1 10000 1 false
584 0 42 1 4 1 false
584 0 43 1 4 1 false
611 0 44 1 10000 1 false
611 0 45 1 10000 1 false
630 0 46 0 10000 1 false
631 0 47 0 10000 1 false
646 0 48 1 10000 1 false
646 0 49 1 10000 1 false
662 0 50 0 2 1 false
662 0 51 0 2 1 false
678 0 52 0 10000 1 false
678 0 53 0 10000 1 false
703 0 54 0 4 0 false
703 0 55 0 4 0 false
725 0 56 0 4 0 false
725 0 57 0 4 0 false
745 0 58 0 10000 1 false
745 0 59 0 10000 1 false
761 0 60 0 4 0 false
761 0 61 0 4 0 false
777 0 62 0 10000 0 false
777 0 63 0 10000 0 false
792 0 64 0 4 0 false
792 0 65 0 4 0 false
808 0 66 0 5 1 false
808 0 67 0 5 1 false
825 0 68 0 5 1 false
825 0 69 0 5 1 false
844 0 70 1 4 1 false
844 0 71 1 4 1 false
861 0 72 1 4 1 false
861 0 73 1 4 1 false
877 0 74 0 10000 1 false
877 0 75 0 10000 1 false
893 0 76 0 10000 1 false
893 0 77 0 10000 1 false
909 0 78 0 10000 1 false
909 0 79 0 10000 1 false
924 0 80 0 10000 1 false
924 0 81 0 10000 1 false
942 0 82 1 5 1 false
942 0 83 1 5 1 false
958 0 84 1 10000 1 false
958 0 85 1 10000 1 false
974 0 86 1 10000 1 false
974 0 87 1 10000 1 false
989 0 88 1 10000 1 false
989 0 89 1 10000 1 false
1011 0 90 1 10000 1 false
1011 0 91 1 10000 1 false
1039 0 92 1 10000 1 false
1039 0 93 1 10000 1 false
1063 0 94 0 2 0 false
1063 0 95 0 2 0 false
1082 0 96 0 3 0 false
1082 0 97 0 3 0 false
1104 0 98 0 10000 0 false
1104 0 99 0 10000 0 false
1119 0 100 0 10000 0 false
1119 0 101 0 10000 0 false
1135 0 102 0 3 0 false
1135 0 103 0 3 0 false
1150 0 104 0 3 0 false
1150 0 105 0 3 0 false
1165 0 106 0 3 0 false
1165 0 107 0 3 0 false
1182 0 108 0 10000 0 false
1182 0 109 0 10000 0 false
1211 0 110 1 3 1 false
1211 0 111 1 3 1 false
1243 0 112 0 3 1 false
1243 0 113 0 3 1 false
1274 0 114 0 3 0 false
1274 0 115 0 3 0 false
1295 0 116 0 10000 0 false
1295 0 117 0 10000 0 false
1313 0 118 0 10000 0 false
1313 0 119 0 10000 0 false
1330 0 120 0 10000 1 false
1330 0 121 0 10000 1 false
1346 0 122 0 10000 0 false
1346 0 123 0 10000 0 false
1364 0 124 0 10000 1 false
1364 0 125 0 10000 1 false
1383 0 126 0 10000 1 false
1383 0 127 0 10000 1 false
1400 0 128 0 10000 1 false
1400 0 129 0 10000 1 false
1416 0 130 0 2 0 false
1416 0 131 0 2 0 false
1432 0 132 0 2 0 false
1432 0 133 0 2 0 false
1447 0 134 0 10000 0 false
1447 0 135 0 10000 0 false
1463 0 136 0 10000 0 false
1463 0 137 0 10000 0 false
1478 0 138 0 10000 0 false
1478 0 139 0 10000 0 false
1494 0 140 1 10000 1 false
1494 0 141 1 10000 1 false
1511 0 142 1 6 1 false
1511 0 143 1 6 1 false
1535 0 144 0 7 1 false
1535 0 145 0 7 1 false
1553 0 146 0 7 1 false
1553 0 147 0 7 1 false
1570 0 148 0 10000 1 false
1571 0 149 0 10000 1 false
1590 0 150 0 10000 0 false
1590 0 151 0 10000 0 false
1606 0 152 0 10000 0 false
1606 0 153 0 10000 0 false
1622 0 154 0 10000 0 false
1622 0 155 0 10000 0 false
1638 0 156 0 1 0 false
1638 0 157 0 1 0 false
1653 0 158 0 0 0 false
1653 0 159 0 0 0 false
1672 0 160 0 0 0 false
1672 0 161 0 0 0 false
1688 0 162 0 0 0 false
1688 0 163 0 0 0 false
1704 0 164 0 0 0 false
1704 0 165 0 0 0 false
1721 0 166 0 10000 0 false
1721 0 167 0 10000 0 false
1737 0 168 0 1 0 false
1737 0 169 0 1 0 false
1754 0 170 0 1 0 false
1754 0 171 0 1 0 false
1771 0 172 0 1 0 false
1771 0 173 0 1 0 false
1787 0 174 0 10000 0 false
1787 0 175 0 10000 0 false
1805 0 176 0 10000 0 false
1805 0 177 0 10000 0 false
1822 0 178 0 10000 0 false
1822 0 179 0 10000 0 false
1838 0 180 0 10000 0 false
1838 0 181 0 10000 0 false
1858 0 182 0 10000 0 false
1858 0 183 0 10000 0 false
1877 0 184 0 2 0 false
1877 0 185 0 2 0 false
1894 0 186 1 10000 1 false
1894 0 187 1 10000 1 false
1911 0 188 0 5 0 false
1911 0 189 0 5 0 false
1928 0 190 1 5 1 false
1928 0 191 1 5 1 false
1946 0 192 0 5 0 false
1946 0 193 0 5 0 false
1962 0 194 0 2 0 false
1962 0 195 0 2 0 false
1979 0 196 0 1 0 false
1979 0 197 0 1 0 false
1994 0 198 0 1 0 false
1994 0 199 0 1 0 false
2010 0 200 1 1 1 false
2010 0 201 1 1 1 false
2026 0 202 1 1 1 false
2026 0 203 1 1 1 false
2042 0 204 1 1 1 false
2042 0 205 1 1 1 false
2060 0 206 1 1 1 false
2060 0 207 1 1 1 false
2077 0 208 1 1 1 false
2077 0 209 1 1 1 false
2096 0 210 1 1 1 false
2096 0 211 1 1 1 false
2113 0 212 0 10000 0 false
2113 0 213 0 10000 0 false
2129 0 214 1 3 1 false
2129 0 215 1 3 1 false
2145 0 216 1 5 1 false
2145 0 217 1 5 1 false
2162 0 218 1 5 1 false
2162 0 219 1 5 1 false
2177 0 220 0 4 0 false
2177 0 221 0 4 0 false
2196 0 222 0 2 1 false
2196 0 223 0 2 1 false
2218 0 224 1 10000 1 false
2218 0 225 1 10000 1 false
2235 0 226 1 10000 1 false
2235 0 227 1 10000 1 false
2251 0 228 1 10000 1 false
2251 0 229 1 10000 1 false
2268 0 230 1 5 1 false
2268 0 231 1 5 1 false
2285 0 232 1 2 1 false
2285 0 233 1 2 1 false
2302 0 234 0 1 0 false
2302 0 235 0 1 0 false
2319 0 236 0 1 0 false
2319 0 237 0 1 0 false
2337 0 238 0 10000 0 false
2337 0 239 0 10000 0 false
2354 0 240 0 10000 0 false
2354 0 241 0 10000 0 false
2370 0 242 0 2 0 false
2370 0 243 0 2 0 false
2387 0 244 0 2 0 false
2387 0 245 0 2 0 false
2403 0 246 0 2 0 false
2403 0 247 0 2 0 false
2419 0 248 0 1 0 false
2419 0 249 0 1 0 false
2436 0 250 0 4 0 false
2436 0 251 0 4 0 false
2454 0 252 0 1 0 false
2454 0 253 0 1 0 false
2471 0 254 0 2 0 false
2471 0 255 0 2 0 false
2488 0 256 1 3 1 false
2488 0 257 1 3 1 false
2504 0 258 1 4 1 false
2504 0 259 1 4 1 false
2528 0 260 1 3 1 false
2528 0 261 1 3 1 false
