# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
89 0 1 0 10000 0 false
89 0 2 0 10000 0 false
89 0 3 0 10000 0 false
89 0 4 0 10000 0 false
126 0 5 0 10000 0 false
126 0 6 0 10000 0 false
126 0 7 0 10000 0 false
126 0 8 0 10000 0 false
126 0 9 0 10000 0 false
145 0 10 0 10000 0 false
145 0 11 0 10000 0 false
145 0 12 0 10000 0 false
145 0 13 0 10000 0 false
145 0 14 0 10000 0 false
190 0 15 0 10000 0 false
190 0 16 0 10000 0 false
190 0 17 0 10000 0 false
190 0 18 0 10000 0 false
190 0 19 0 10000 0 false
238 0 20 0 10000 0 false
238 0 21 0 10000 0 false
238 0 22 0 10000 0 false
238 0 23 0 10000 0 false
238 0 24 0 10000 0 false
269 0 25 1 10000 1 false
269 0 26 1 10000 1 false
269 0 27 1 10000 1 false
269 0 28 1 10000 1 false
269 0 29 1 10000 1 false
290 0 30 1 10000 1 false
290 0 31 1 10000 1 false
290 0 32 1 10000 1 false
290 0 33 1 10000 1 false
290 0 34 1 10000 1 false
312 0 35 0 10000 0 false
312 0 36 0 10000 0 false
312 0 37 0 10000 0 false
312 0 38 0 10000 0 false
312 0 39 0 10000 0 false
333 0 40 0 10000 0 false
333 0 41 0 10000 0 false
333 0 42 0 10000 0 false
333 0 43 0 10000 0 false
333 0 44 0 10000 0 false
363 0 45 0 10000 0 false
363 0 46 0 10000 0 false
363 0 47 0 10000 0 false
363 0 48 0 10000 0 false
363 0 49 0 10000 0 false
382 0 50 0 10000 0 false
382 0 51 0 10000 0 false
382 0 52 0 10000 0 false
382 0 53 0 10000 0 false
382 0 54 0 10000 0 false
397 0 55 0 10000 0 false
397 0 56 0 10000 0 false
397 0 57 0 10000 0 false
397 0 58 0 10000 0 false
397 0 59 0 10000 0 false
413 0 60 0 10000 0 false
413 0 61 0 10000 0 false
413 0 62 0 10000 0 false
413 0 63 0 10000 0 false
413 0 64 0 10000 0 false
429 0 65 0 10000 0 false
429 0 66 0 10000 0 false
429 0 67 0 10000 0 false
429 0 68 0 10000 0 false
429 0 69 0 10000 0 false
444 0 70 0 10000 0 false
444 0 71 0 10000 0 false
444 0 72 0 10000 0 false
444 0 73 0 10000 0 false
444 0 74 0 10000 0 false
462 0 75 1 10000 1 false
462 0 76 1 10000 1 false
462 0 77 1 10000 1 false
462 0 78 1 10000 1 false
462 0 79 1 10000 1 false
478 0 80 1 10000 1 false
478 0 81 1 10000 1 false
478 0 82 1 10000 1 false
478 0 83 1 10000 1 false
478 0 84 1 10000 1 false
494 0 85 0 10000 0 false
494 0 86 0 10000 0 false
494 0 87 0 10000 0 false
494 0 88 0 10000 0 false
494 0 89 0 10000 0 false
513 0 90 0 10000 0 false
513 0 91 0 10000 0 false
513 0 92 0 10000 0 false
513 0 93 0 10000 0 false
513 0 94 0 10000 0 false
537 0 95 0 10000 0 false
537 0 96 0 10000 0 false
537 0 97 0 10000 0 false
537 0 98 0 10000 0 false
537 0 99 0 10000 0 false
560 0 100 0 10000 0 false
560 0 101 0 10000 0 false
560 0 102 0 10000 0 false
560 0 103 0 10000 0 false
560 0 104 0 10000 0 false
594 0 105 0 10000 0 false
594 0 106 0 10000 0 false
594 0 107 0 10000 0 false
594 0 108 0 10000 0 false
594 0 109 0 10000 0 false
620 0 110 0 10000 0 false
620 0 111 0 10000 0 false
620 0 112 0 10000 0 false
620 0 113 0 10000 0 false
620 0 114 0 10000 0 false
636 0 115 1 10000 1 false
636 0 116 1 10000 1 false
636 0 117 1 10000 1 false
636 0 118 1 10000 1 false
636 0 119 1 10000 1 false
652 0 120 1 10000 1 false
652 0 121 1 10000 1 false
652 0 122 1 10000 1 false
652 0 123 1 10000 1 false
652 0 124 1 10000 1 false
668 0 125 0 10000 0 false
668 0 126 0 10000 0 false
668 0 127 0 10000 0 false
668 0 128 0 10000 0 false
668 0 129 0 10000 0 false
688 0 130 0 10000 0 false
688 0 131 0 10000 0 false
688 0 132 0 10000 0 false
688 0 133 0 10000 0 false
688 0 134 0 10000 0 false
711 0 135 1 10000 1 false
711 0 136 1 10000 1 false
711 0 137 1 10000 1 false
711 0 138 1 10000 1 false
711 0 139 1 10000 1 false
733 0 140 0 10000 0 false
733 0 141 0 10000 0 false
733 0 142 0 10000 0 false
733 0 143 0 10000 0 false
733 0 144 0 10000 0 false
751 0 145 0 10000 0 false
751 0 146 0 10000 0 false
751 0 147 0 10000 0 false
751 0 148 0 10000 0 false
751 0 149 0 10000 0 false
766 0 150 0 10000 0 false
766 0 151 0 10000 0 false
766 0 152 0 10000 0 false
766 0 153 0 10000 0 false
766 0 154 0 10000 0 false
782 0 155 0 10000 0 false
782 0 156 0 10000 0 false
782 0 157 0 10000 0 false
782 0 158 0 10000 0 false
782 0 159 0 10000 0 false
797 0 160 0 10000 0 false
797 0 161 0 10000 0 false
797 0 162 0 10000 0 false
797 0 163 0 10000 0 false
797 0 164 0 10000 0 false
815 0 165 0 10000 0 false
815 0 166 0 10000 0 false
815 0 167 0 10000 0 false
815 0 168 0 10000 0 false
815 0 169 0 10000 0 false
832 0 170 0 10000 0 false
832 0 171 0 10000 0 false
832 0 172 0 10000 0 false
832 0 173 0 10000 0 false
832 0 174 0 10000 0 false
851 0 175 0 10000 0 false
851 0 176 0 10000 0 false
851 0 177 0 10000 0 false
851 0 178 0 10000 0 false
851 0 179 0 10000 0 false
867 0 180 0 10000 0 false
867 0 181 0 10000 0 false
867 0 182 0 10000 0 false
867 0 183 0 10000 0 false
867 0 184 0 10000 0 false
883 0 185 1 10000 1 false
883 0 186 1 10000 1 false
883 0 187 1 10000 1 false
883 0 188 1 10000 1 false
883 0 189 1 10000 1 false
898 0 190 1 10000 1 false
898 0 191 1 10000 1 false
898 0 192 1 10000 1 false
