# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
87 0 1 0 10000 0 false
116 0 2 0 10000 0 false
116 0 3 0 10000 0 false
136 0 4 0 10000 0 false
136 0 5 0 10000 0 false
177 0 6 0 10000 0 false
177 0 7 0 10000 0 false
222 0 8 1 10000 1 false
223 0 9 1 10000 1 false
262 0 10 1 10000 1 false
262 0 11 1 10000 1 false
283 0 12 1 10000 1 false
283 0 13 1 10000 1 false
305 0 14 1 10000 1 false
305 0 15 1 10000 1 false
326 0 16 1 10000 1 false
326 0 17 1 10000 1 false
354 0 18 1 10000 1 false
354 0 19 1 10000 1 false
377 0 20 1 10000 1 false
377 0 21 1 10000 1 false
392 0 22 1 10000 1 false
392 0 23 1 10000 1 false
408 0 24 1 10000 1 false
408 0 25 1 10000 1 false
423 0 26 1 10000 1 false
423 0 27 1 10000 1 false
439 0 28 1 10000 1 false
439 0 29 1 10000 1 false
457 0 30 1 10000 1 false
457 0 31 1 10000 1 false
472 0 32 1 10000 1 false
472 0 33 1 10000 1 false
488 0 34 2 10000 2 false
488 0 35 2 10000 2 false
506 0 36 2 10000 2 false
506 0 37 2 10000 2 false
530 0 38 1 10000 1 false
530 0 39 1 10000 1 false
551 0 40 1 10000 1 false
551 0 41 1 10000 1 false
585 0 42 2 10000 2 false
585 0 43 2 10000 2 false
612 0 44 2 10000 2 false
612 0 45 2 10000 2 false
631 0 46 1 10000 1 false
631 0 47 1 10000 1 false
647 0 48 1 10000 1 false
647 0 49 1 10000 1 false
663 0 50 0 10000 0 false
663 0 51 0 10000 0 false
678 0 52 1 10000 1 false
678 0 53 1 10000 1 false
703 0 54 1 10000 1 false
703 0 55 1 10000 1 false
726 0 56 1 10000 1 false
726 0 57 1 10000 1 false
745 0 58 1 10000 1 false
745 0 59 1 10000 1 false
761 0 60 2 10000 2 false
761 0 61 2 10000 2 false
777 0 62 2 10000 2 false
777 0 63 2 10000 2 false
792 0 64 2 10000 2 false
792 0 65 2 10000 2 false
808 0 66 1 10000 1 false
808 0 67 1 10000 1 false
826 0 68 1 10000 2 false
826 0 69 1 10000 2 false
845 0 70 1 10000 2 false
845 0 71 1 10000 2 false
862 0 72 1 10000 2 false
862 0 73 1 10000 2 false
878 0 74 1 10000 1 false
878 0 75 1 10000 1 false
893 0 76 1 10000 1 false
893 0 77 1 10000 1 false
909 0 78 1 10000 1 false
909 0 79 1 10000 1 false
925 0 80 1 10000 1 false
925 0 81 1 10000 1 false
943 0 82 2 10000 2 false
943 0 83 2 10000 2 false
959 0 84 1 10000 1 false
959 0 85 1 10000 1 false
974 0 86 1 10000 1 false
974 0 87 1 10000 1 false
990 0 88 1 10000 1 false
990 0 89 1 10000 1 false
1012 0 90 1 10000 1 false
1012 0 91 1 10000 1 false
1040 0 92 0 10000 0 false
1040 0 93 0 10000 0 false
1064 0 94 1 10000 1 false
1064 0 95 1 10000 1 false
1083 0 96 1 10000 1 false
