# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
87 0 1 0 10000 0 false
121 0 2 0 10000 0 false
121 0 3 0 10000 0 false
140 0 4 0 10000 0 false
140 0 5 0 10000 0 false
181 0 6 0 10000 0 false
181 0 7 0 10000 0 false
230 0 8 1 10000 1 false
230 0 9 1 10000 1 false
265 0 10 0 10000 0 false
265 0 11 0 10000 0 false
286 0 12 1 10000 1 false
286 0 13 1 10000 1 false
308 0 14 1 10000 1 false
308 0 15 1 10000 1 false
329 0 16 0 10000 0 false
329 0 17 0 10000 0 false
358 0 18 0 10000 0 false
358 0 19 0 10000 0 false
379 0 20 0 10000 0 false
379 0 21 0 10000 0 false
395 0 22 0 10000 0 false
395 0 23 0 10000 0 false
410 0 24 0 10000 0 false
410 0 25 0 10000 0 false
426 0 26 0 10000 0 false
426 0 27 0 10000 0 false
441 0 28 0 10000 0 false
441 0 29 0 10000 0 false
459 0 30 0 10000 0 false
459 0 31 0 10000 0 false
475 0 32 1 10000 1 false
475 0 33 1 10000 1 false
491 0 34 1 10000 1 false
491 0 35 1 10000 1 false
509 0 36 1 10000 1 false
509 0 37 1 10000 1 false
534 0 38 1 10000 1 false
534 0 39 1 10000 1 false
554 0 40 0 10000 0 false
555 0 41 0 10000 0 false
589 0 42 0 10000 0 false
589 0 43 0 10000 0 false
616 0 44 1 10000 1 false
616 0 45 1 10000 1 false
633 0 46 1 10000 1 false
633 0 47 1 10000 1 false
649 0 48 0 10000 1 false
649 0 49 0 10000 1 false
665 0 50 0 10000 1 false
665 0 51 0 10000 1 false
684 0 52 1 10000 1 false
684 0 53 1 10000 1 false
707 0 54 1 10000 1 false
707 0 55 1 10000 1 false
729 0 56 1 10000 1 false
729 0 57 1 10000 1 false
748 0 58 1 10000 1 false
748 0 59 1 10000 1 false
764 0 60 1 10000 1 false
764 0 61 1 10000 1 false
780 0 62 1 10000 1 false
780 0 63 1 10000 1 false
795 0 64 0 10000 1 false
795 0 65 0 10000 1 false
811 0 66 0 10000 1 false
811 0 67 0 10000 1 false
829 0 68 0 10000 0 false
829 0 69 0 10000 0 false
848 0 70 0 10000 1 false
848 0 71 0 10000 1 false
864 0 72 0 10000 1 false
864 0 73 0 10000 1 false
880 0 74 0 10000 1 false
880 0 75 0 10000 1 false
896 0 76 0 10000 0 false
896 0 77 0 10000 0 false
912 0 78 0 10000 0 false
912 0 79 0 10000 0 false
927 0 80 1 10000 1 false
927 0 81 1 10000 1 false
945 0 82 1 10000 1 false
945 0 83 1 10000 1 false
961 0 84 1 10000 1 false
961 0 85 1 10000 1 false
977 0 86 1 10000 1 false
977 0 87 1 10000 1 false
992 0 88 1 10000 1 false
992 0 89 1 10000 1 false
1016 0 90 1 10000 1 false
1016 0 91 1 10000 1 false
1044 0 92 1 10000 1 false
1044 0 93 1 10000 1 false
1066 0 94 1 10000 1 false
1066 0 95 1 10000 1 false
1088 0 96 1 10000 1 false
1088 0 97 1 10000 1 false
1107 0 98 1 10000 1 false
1107 0 99 1 10000 1 false
1122 0 100 0 10000 0 false
1122 0 101 0 10000 0 false
1138 0 102 0 10000 0 false
1138 0 103 0 10000 0 false
1152 0 104 0 10000 0 false
1153 0 105 0 10000 0 false
1168 0 106 0 10000 0 false
1168 0 107 0 10000 0 false
1185 0 108 0 10000 0 false
1185 0 109 0 10000 0 false
1216 0 110 0 10000 0 false
1216 0 111 0 10000 0 false
1250 0 112 0 10000 0 false
