# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
90 0 1 0 10000 0 false
128 0 2 0 10000 0 false
128 0 3 0 10000 0 false
154 0 4 0 0 0 false
155 0 5 0 0 0 false
196 0 6 0 0 0 false
196 0 7 0 0 0 false
244 0 8 1 1 1 false
244 0 9 1 1 1 false
272 0 10 0 0 0 false
272 0 11 0 0 0 false
293 0 12 0 0 0 false
293 0 13 0 0 0 false
314 0 14 0 2 0 false
314 0 15 0 2 0 false
339 0 16 0 0 0 false
339 0 17 0 0 0 false
366 0 18 0 0 0 false
366 0 19 0 0 0 false
384 0 20 1 1 1 false
384 0 21 1 1 1 false
399 0 22 1 1 1 false
399 0 23 1 1 1 false
415 0 24 1 1 1 false
415 0 25 1 1 1 false
431 0 26 0 2 1 false
431 0 27 0 2 1 false
446 0 28 0 2 1 false
446 0 29 0 2 1 false
464 0 30 1 1 1 false
464 0 31 1 1 1 false
480 0 32 0 2 0 false
480 0 33 0 2 0 false
496 0 34 0 1 0 false
496 0 35 0 1 0 false
516 0 36 0 0 0 false
516 0 37 0 0 0 false
540 0 38 0 0 0 false
540 0 39 0 0 0 false
563 0 40 0 0 0 false
563 0 41 0 0 0 false
597 0 42 0 0 0 false
597 0 43 0 0 0 false
622 0 44 1 1 1 false
622 0 45 1 1 1 false
638 0 46 0 1 0 false
638 0 47 0 1 0 false
654 0 48 0 2 0 false
654 0 49 0 2 0 false
669 0 50 0 0 0 false
669 0 51 0 0 0 false
691 0 52 0 0 0 false
691 0 53 0 0 0 false
713 0 54 0 0 0 false
713 0 55 0 0 0 false
736 0 56 0 0 0 false
736 0 57 0 0 0 false
753 0 58 0 0 0 false
753 0 59 0 0 0 false
768 0 60 0 0 0 false
768 0 61 0 0 0 false
784 0 62 0 0 0 false
784 0 63 0 0 0 false
799 0 64 0 0 0 false
799 0 65 0 0 0 false
817 0 66 0 0 0 false
817 0 67 0 0 0 false
834 0 68 0 0 0 false
834 0 69 0 0 0 false
853 0 70 1 1 1 false
853 0 71 1 1 1 false
869 0 72 1 1 1 false
869 0 73 1 1 1 false
885 0 74 1 2 1 false
885 0 75 1 2 1 false
900 0 76 1 2 1 false
900 0 77 1 2 1 false
916 0 78 0 2 0 false
916 0 79 0 2 0 false
934 0 80 0 0 0 false
934 0 81 0 0 0 false
950 0 82 0 3 0 false
950 0 83 0 3 0 false
966 0 84 0 0 0 false
966 0 85 0 0 0 false
981 0 86 0 0 0 false
981 0 87 0 0 0 false
997 0 88 0 0 0 false
997 0 89 0 0 0 false
1024 0 90 0 0 0 false
1024 0 91 0 0 0 false
1052 0 92 0 1 0 false
1052 0 93 0 1 0 false
1073 0 94 0 1 0 false
1073 0 95 0 1 0 false
1096 0 96 0 0 0 false
1096 0 97 0 0 0 false
1112 0 98 0 0 0 false
1112 0 99 0 0 0 false
1127 0 100 0 0 0 false
1127 0 101 0 0 0 false
1142 0 102 0 1 0 false
1142 0 103 0 1 0 false
1157 0 104 0 0 0 false
1157 0 105 0 0 0 false
