# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
64 0 1 0 0 0 false
80 0 2 0 0 0 false
94 0 3 0 0 0 false
111 0 4 0 0 0 false
156 0 5 1 1 1 false
167 0 6 0 0 0 false
177 0 7 0 0 0 false
192 0 8 0 0 0 false
204 0 9 0 0 0 false
216 0 10 0 0 0 false
233 0 11 0 0 0 false
245 0 12 0 0 0 false
246 0 13 0 0 0 false
247 0 14 0 0 0 false
258 0 15 0 0 0 false
279 0 16 0 0 0 false
293 0 17 0 0 0 false
293 0 18 0 0 0 false
304 0 19 1 1 1 false
335 0 20 0 0 0 false
356 0 21 0 0 0 false
377 0 22 0 0 0 false
389 0 23 0 0 0 false
400 0 24 0 0 0 false
400 0 25 0 0 0 false
411 0 26 0 0 0 false
424 0 27 1 1 1 false
448 0 28 0 0 0 false
464 0 29 0 0 0 false
515 0 30 0 0 0 false
538 0 31 0 0 0 false
551 0 32 0 0 0 false
562 0 33 0 0 0 false
576 0 34 0 0 0 false
