# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
120 0 1 0 0 0 false
138 0 2 0 0 0 false
179 0 3 0 0 0 false
228 0 4 0 0 0 false
264 0 5 1 1 1 false
285 0 6 0 0 0 false
307 0 7 1 1 1 false
328 0 8 1 1 1 false
356 0 9 0 0 0 false
378 0 10 0 0 0 false
394 0 11 0 0 0 false
409 0 12 0 0 0 false
425 0 13 0 0 0 false
441 0 14 0 0 0 false
458 0 15 1 1 1 false
474 0 16 1 1 1 false
490 0 17 0 0 0 false
508 0 18 0 0 0 false
532 0 19 0 0 0 false
553 0 20 1 1 1 false
587 0 21 0 0 0 false
615 0 22 0 0 0 false
632 0 23 0 0 0 false
648 0 24 0 0 0 false
664 0 25 0 0 0 false
682 0 26 0 0 0 false
705 0 27 0 0 0 false
728 0 28 0 0 0 false
747 0 29 0 0 0 false
763 0 30 0 0 0 false
779 0 31 0 0 0 false
794 0 32 0 0 0 false
810 0 33 0 0 0 false
827 0 34 0 0 0 false
846 0 35 0 0 0 false
863 0 36 0 0 0 false
879 0 37 0 0 0 false
895 0 38 0 0 0 false
911 0 39 0 0 0 false
926 0 40 0 0 0 false
944 0 41 1 1 1 false
960 0 42 0 0 0 false
976 0 43 1 1 1 false
991 0 44 1 1 1 false
1014 0 45 0 0 0 false
1042 0 46 0 0 0 false
1065 0 47 0 0 0 false
1085 0 48 1 1 1 false
1106 0 49 1 1 1 false
1121 0 50 0 0 0 false
1137 0 51 0 0 0 false
1151 0 52 0 0 0 false
1166 0 53 0 0 0 false
1184 0 54 0 0 0 false
1214 0 55 0 0 0 false
1247 0 56 1 1 1 false
1276 0 57 1 1 1 false
1297 0 58 0 0 0 false
1315 0 59 1 1 1 false
1332 0 60 1 1 1 false
1348 0 61 0 0 0 false
1366 0 62 0 0 0 false
1385 0 63 0 0 0 false
1402 0 64 0 0 0 false
1418 0 65 0 0 0 false
1434 0 66 0 0 0 false
1449 0 67 0 0 0 false
1464 0 68 0 0 0 false
1480 0 69 0 0 0 false
1495 0 70 0 0 0 false
1515 0 71 0 0 0 false
1538 0 72 0 0 0 false
1555 0 73 0 0 0 false
1574 0 74 0 0 0 false
1592 0 75 0 0 0 false
1608 0 76 0 0 0 false
1625 0 77 0 0 0 false
1640 0 78 0 0 0 false
1656 0 79 0 0 0 false
1674 0 80 0 0 0 false
1690 0 81 0 0 0 false
1707 0 82 0 0 0 false
1723 0 83 0 0 0 false
1739 0 84 0 0 0 false
1756 0 85 0 0 0 false
1773 0 86 0 0 0 false
1789 0 87 0 0 0 false
1808 0 88 0 0 0 false
1824 0 89 0 0 0 false
1840 0 90 0 0 0 false
1862 0 91 0 0 0 false
1879 0 92 0 0 0 false
1897 0 93 0 0 0 false
1914 0 94 0 0 0 false
1932 0 95 0 0 0 false
1949 0 96 0 0 0 false
1965 0 97 0 0 0 false
1981 0 98 0 0 0 false
1996 0 99 0 0 0 false
