# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
33 0 1 0 10000 0 false
33 0 2 0 10000 0 false
33 0 3 0 10000 0 false
53 0 4 0 10000 0 false
54 0 5 0 10000 0 false
54 0 6 0 10000 0 false
77 0 7 0 100 0 false
77 0 8 0 100 0 false
77 0 9 0 100 0 false
91 0 10 50 100 50 false
91 0 11 50 100 50 false
101 0 12 50 100 50 false
102 0 13 70 100 70 false
102 0 14 70 100 70 false
102 0 15 70 100 70 false
133 0 16 70 100 70 false
133 0 17 70 100 70 false
133 0 18 70 100 70 false
156 0 19 70 100 70 false
157 0 20 70 100 70 false
157 0 21 70 100 70 false
186 0 22 70 100 70 false
186 0 23 70 100 70 false
186 0 24 70 100 70 false
203 0 25 70 100 70 false
203 0 26 70 100 70 false
203 0 27 70 100 70 false
214 0 28 100 100 100 false
214 0 29 100 100 100 false
214 0 30 100 100 100 false
