# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
38 0 1 0 10000 0 false
38 0 2 0 10000 0 false
38 0 3 0 10000 0 false
38 0 4 0 10000 0 false
55 0 5 0 10000 0 false
55 0 6 0 10000 0 false
55 0 7 0 10000 0 false
55 0 8 0 10000 0 false
62 0 9 0 10000 0 false
62 0 10 0 10000 0 false
62 0 11 0 10000 0 false
62 0 12 0 10000 0 false
72 0 13 0 10000 0 false
72 0 14 0 10000 0 false
72 0 15 0 10000 0 false
72 0 16 0 10000 0 false
76 0 17 0 10000 0 false
76 0 18 0 10000 0 false
76 0 19 0 10000 0 false
76 0 20 0 10000 0 false
80 0 21 0 3 0 false
80 0 22 0 3 0 false
80 0 23 0 3 0 false
80 0 24 0 3 0 false
84 0 25 0 3 0 false
84 0 26 0 3 0 false
84 0 27 0 3 0 false
84 0 28 0 3 0 false
87 0 29 0 0 0 false
87 0 30 0 0 0 false
87 0 31 0 0 0 false
87 0 32 0 0 0 false
