# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
130 0 1 0 0 0 false
165 0 2 0 0 0 false
203 0 3 0 0 0 false
250 0 4 0 0 0 false
275 0 5 1 1 1 false
297 0 6 1 1 1 false
318 0 7 1 1 1 false
344 0 8 1 1 1 false
371 0 9 1 1 1 false
387 0 10 1 1 1 false
402 0 11 1 1 1 false
418 0 12 1 1 1 false
433 0 13 1 1 1 false
451 0 14 0 0 0 false
467 0 15 1 1 1 false
482 0 16 1 1 1 false
499 0 17 1 1 1 false
522 0 18 1 1 1 false
544 0 19 1 1 1 false
572 0 20 1 1 1 false
602 0 21 1 1 1 false
625 0 22 1 1 1 false
641 0 23 0 0 0 false
657 0 24 0 0 0 false
672 0 25 0 0 0 false
695 0 26 0 0 0 false
717 0 27 0 0 0 false
739 0 28 1 1 1 false
755 0 29 1 1 1 false
771 0 30 1 1 1 false
787 0 31 1 1 1 false
802 0 32 1 1 1 false
820 0 33 1 1 1 false
837 0 34 1 1 1 false
856 0 35 1 1 1 false
872 0 36 0 0 0 false
887 0 37 1 1 1 false
903 0 38 1 1 1 false
919 0 39 1 1 1 false
937 0 40 0 0 0 false
953 0 41 0 0 0 false
968 0 42 0 0 0 false
984 0 43 0 0 0 false
1001 0 44 0 0 0 false
1029 0 45 1 1 1 false
1057 0 46 1 1 1 false
1076 0 47 1 1 1 false
1099 0 48 1 1 1 false
1114 0 49 1 1 1 false
1129 0 50 1 1 1 false
1144 0 51 1 1 1 false
1159 0 52 1 1 1 false
1177 0 53 1 1 1 false
1203 0 54 1 1 1 false
1229 0 55 1 1 1 false
1267 0 56 1 1 1 false
1289 0 57 1 1 1 false
1307 0 58 0 0 0 false
1324 0 59 1 1 1 false
1341 0 60 1 1 1 false
1358 0 61 1 1 1 false
1375 0 62 1 1 1 false
1395 0 63 1 1 1 false
1410 0 64 1 1 1 false
1426 0 65 1 1 1 false
1442 0 66 1 1 1 false
1457 0 67 0 0 0 false
1473 0 68 0 0 0 false
1488 0 69 0 0 0 false
1504 0 70 0 0 0 false
1527 0 71 0 0 0 false
1547 0 72 0 0 0 false
1564 0 73 1 1 1 false
1585 0 74 1 1 1 false
1601 0 75 1 1 1 false
1617 0 76 0 0 0 false
1633 0 77 0 0 0 false
1648 0 78 0 0 0 false
1666 0 79 0 0 0 false
1682 0 80 0 0 0 false
1698 0 81 0 0 0 false
1715 0 82 0 0 0 false
1732 0 83 0 0 0 false
1748 0 84 0 0 0 false
1765 0 85 0 0 0 false
1781 0 86 0 0 0 false
1800 0 87 0 0 0 false
1816 0 88 0 0 0 false
1832 0 89 0 0 0 false
1849 0 90 0 0 0 false
1871 0 91 0 0 0 false
1888 0 92 0 0 0 false
1906 0 93 0 0 0 false
1922 0 94 1 1 1 false
1941 0 95 1 1 1 false
1957 0 96 1 1 1 false
1973 0 97 1 1 1 false
1989 0 98 1 1 1 false
2005 0 99 1 1 1 false
2021 0 100 1 1 1 false
2037 0 101 1 1 1 false
2053 0 102 1 1 1 false
2071 0 103 1 1 1 false
2090 0 104 1 1 1 false
2107 0 105 1 1 1 false
2124 0 106 0 0 0 false
2140 0 107 0 0 0 false
2156 0 108 0 0 0 false
2172 0 109 0 0 0 false
2190 0 110 1 1 1 false
2212 0 111 1 1 1 false
2229 0 112 1 1 1 false
2246 0 113 1 1 1 false
2262 0 114 1 1 1 false
2279 0 115 1 1 1 false
2296 0 116 1 1 1 false
2313 0 117 1 1 1 false
2331 0 118 1 1 1 false
2348 0 119 1 1 1 false
2365 0 120 1 1 1 false
2381 0 121 1 1 1 false
2397 0 122 1 1 1 false
2414 0 123 1 1 1 false
2430 0 124 1 1 1 false
2447 0 125 1 1 1 false
2465 0 126 1 1 1 false
2482 0 127 1 1 1 false
2498 0 128 1 1 1 false
2518 0 129 0 0 0 false
2547 0 130 0 0 0 false
2572 0 131 0 0 0 false
2588 0 132 1 1 1 false
2605 0 133 1 1 1 false
2623 0 134 0 0 0 false
2639 0 135 0 0 0 false
2655 0 136 0 0 0 false
2672 0 137 0 0 0 false
2688 0 138 0 0 0 false
2704 0 139 0 0 0 false
2721 0 140 0 0 0 false
2738 0 141 1 1 1 false
2754 0 142 0 0 0 false
2771 0 143 0 0 0 false
2787 0 144 0 0 0 false
2804 0 145 0 0 0 false
2820 0 146 0 0 0 false
2836 0 147 0 0 0 false
2853 0 148 0 0 0 false
2872 0 149 0 0 0 false
2891 0 150 0 0 0 false
2910 0 151 0 0 0 false
2927 0 152 0 0 0 false
2944 0 153 0 0 0 false
2961 0 154 0 0 0 false
2978 0 155 0 0 0 false
2995 0 156 0 0 0 false
3013 0 157 0 0 0 false
3031 0 158 0 0 0 false
3048 0 159 0 0 0 false
3066 0 160 0 0 0 false
3084 0 161 0 0 0 false
3101 0 162 0 0 0 false
3118 0 163 0 0 0 false
3136 0 164 1 1 1 false
3153 0 165 1 1 1 false
3171 0 166 1 1 1 false
3188 0 167 1 1 1 false
3206 0 168 1 1 1 false
3227 0 169 0 0 0 false
3244 0 170 0 0 0 false
3262 0 171 0 0 0 false
3280 0 172 0 0 0 false
3297 0 173 0 0 0 false
3314 0 174 0 0 0 false
3332 0 175 0 0 0 false
3350 0 176 0 0 0 false
3368 0 177 0 0 0 false
3386 0 178 0 0 0 false
3404 0 179 0 0 0 false
3422 0 180 0 0 0 false
3440 0 181 1 1 1 false
3457 0 182 1 1 1 false
3474 0 183 0 0 0 false
3491 0 184 0 0 0 false
3508 0 185 0 0 0 false
3529 0 186 1 1 1 false
3547 0 187 1 1 1 false
3575 0 188 1 1 1 false
3594 0 189 1 1 1 false
3612 0 190 1 1 1 false
3629 0 191 1 1 1 false
3646 0 192 1 1 1 false
3664 0 193 1 1 1 false
3681 0 194 1 1 1 false
3698 0 195 0 0 0 false
3714 0 196 0 0 0 false
3731 0 197 1 1 1 false
3749 0 198 1 1 1 false
3766 0 199 1 1 1 false
3784 0 200 1 1 1 false
3802 0 201 0 0 0 false
3819 0 202 0 0 0 false
3836 0 203 1 1 1 false
3854 0 204 0 0 0 false
3870 0 205 1 1 1 false
3889 0 206 0 0 0 false
3911 0 207 0 0 0 false
3929 0 208 0 0 0 false
3947 0 209 0 0 0 false
3963 0 210 0 0 0 false
3980 0 211 0 0 0 false
3997 0 212 0 0 0 false
4013 0 213 0 0 0 false
4029 0 214 0 0 0 false
4047 0 215 0 0 0 false
4064 0 216 0 0 0 false
4082 0 217 0 0 0 false
4099 0 218 0 0 0 false
4116 0 219 1 1 1 false
4133 0 220 1 1 1 false
4151 0 221 1 1 1 false
4168 0 222 1 1 1 false
4187 0 223 1 1 1 false
4204 0 224 0 0 0 false
4221 0 225 0 0 0 false
4247 0 226 0 0 0 false
4265 0 227 0 0 0 false
4282 0 228 0 0 0 false
4300 0 229 0 0 0 false
4318 0 230 0 0 0 false
4335 0 231 0 0 0 false
4352 0 232 0 0 0 false
4369 0 233 0 0 0 false
4387 0 234 0 0 0 false
4405 0 235 0 0 0 false
4422 0 236 1 1 1 false
4440 0 237 1 1 1 false
4458 0 238 1 1 1 false
4475 0 239 1 1 1 false
4494 0 240 1 1 1 false
4512 0 241 1 1 1 false
4532 0 242 1 1 1 false
4551 0 243 1 1 1 false
4573 0 244 1 1 1 false
4597 0 245 0 0 0 false
4615 0 246 0 0 0 false
4632 0 247 0 0 0 false
4650 0 248 1 1 1 false
4667 0 249 0 0 0 false
4684 0 250 0 0 0 false
4701 0 251 0 0 0 false
4720 0 252 0 0 0 false
4737 0 253 0 0 0 false
4754 0 254 0 0 0 false
4771 0 255 0 0 0 false
4788 0 256 1 1 1 false
4806 0 257 1 1 1 false
4823 0 258 1 1 1 false
4841 0 259 1 1 1 false
4858 0 260 1 1 1 false
4875 0 261 1 1 1 false
4894 0 262 1 1 1 false
4912 0 263 0 0 0 false
4934 0 264 0 0 0 false
4952 0 265 0 0 0 false
4971 0 266 0 0 0 false
4988 0 267 1 1 1 false
5006 0 268 1 1 1 false
5023 0 269 0 0 0 false
5040 0 270 0 0 0 false
5056 0 271 0 0 0 false
5073 0 272 0 0 0 false
5091 0 273 0 0 0 false
5109 0 274 0 0 0 false
5126 0 275 0 0 0 false
5143 0 276 0 0 0 false
5160 0 277 0 0 0 false
5181 0 278 0 0 0 false
5202 0 279 1 1 1 false
5219 0 280 1 1 1 false
5238 0 281 0 0 0 false
5255 0 282 0 0 0 false
5287 0 283 0 0 0 false
5306 0 284 0 0 0 false
5323 0 285 1 1 1 false
5341 0 286 1 1 1 false
5358 0 287 0 0 0 false
5375 0 288 0 0 0 false
5394 0 289 1 1 1 false
5411 0 290 0 0 0 false
5428 0 291 0 0 0 false
5446 0 292 0 0 0 false
5463 0 293 0 0 0 false
5480 0 294 0 0 0 false
5499 0 295 0 0 0 false
5519 0 296 1 1 1 false
5537 0 297 1 1 1 false
5556 0 298 1 1 1 false
5578 0 299 1 1 1 false
5595 0 300 1 1 1 false
5615 0 301 1 1 1 false
5637 0 302 1 1 1 false
5656 0 303 1 1 1 false
5673 0 304 1 1 1 false
5691 0 305 1 1 1 false
5709 0 306 1 1 1 false
5727 0 307 1 1 1 false
5744 0 308 1 1 1 false
5762 0 309 1 1 1 false
5781 0 310 1 1 1 false
5799 0 311 1 1 1 false
5817 0 312 1 1 1 false
5834 0 313 1 1 1 false
5852 0 314 1 1 1 false
5869 0 315 1 1 1 false
5887 0 316 1 1 1 false
5904 0 317 1 1 1 false
5922 0 318 1 1 1 false
5944 0 319 1 1 1 false
5962 0 320 1 1 1 false
5980 0 321 1 1 1 false
5998 0 322 1 1 1 false
6015 0 323 1 1 1 false
6032 0 324 1 1 1 false
6050 0 325 1 1 1 false
6068 0 326 1 1 1 false
6089 0 327 1 1 1 false
6106 0 328 1 1 1 false
6124 0 329 1 1 1 false
6141 0 330 1 1 1 false
6159 0 331 1 1 1 false
6177 0 332 1 1 1 false
6194 0 333 1 1 1 false
6211 0 334 1 1 1 false
6229 0 335 1 1 1 false
6247 0 336 1 1 1 false
6264 0 337 1 1 1 false
6283 0 338 1 1 1 false
6304 0 339 1 1 1 false
6322 0 340 1 1 1 false
6340 0 341 1 1 1 false
6357 0 342 1 1 1 false
6374 0 343 1 1 1 false
6392 0 344 1 1 1 false
6410 0 345 1 1 1 false
6428 0 346 1 1 1 false
6446 0 347 1 1 1 false
6464 0 348 1 1 1 false
6481 0 349 1 1 1 false
6500 0 350 1 1 1 false
6520 0 351 1 1 1 false
6539 0 352 1 1 1 false
6558 0 353 0 0 0 false
6579 0 354 0 0 0 false
6597 0 355 0 0 0 false
6616 0 356 1 1 1 false
6636 0 357 1 1 1 false
6655 0 358 1 1 1 false
6673 0 359 1 1 1 false
6693 0 360 0 0 0 false
6712 0 361 0 0 0 false
6730 0 362 1 1 1 false
6749 0 363 1 1 1 false
6767 0 364 0 0 0 false
6785 0 365 0 0 0 false
6803 0 366 1 1 1 false
6822 0 367 1 1 1 false
6840 0 368 1 1 1 false
6858 0 369 1 1 1 false
6876 0 370 1 1 1 false
6894 0 371 1 1 1 false
6913 0 372 1 1 1 false
6931 0 373 1 1 1 false
6951 0 374 0 0 0 false
6971 0 375 1 1 1 false
6990 0 376 1 1 1 false
7008 0 377 0 0 0 false
7025 0 378 0 0 0 false
7043 0 379 0 0 0 false
7060 0 380 0 0 0 false
7079 0 381 1 1 1 false
7097 0 382 1 1 1 false
7115 0 383 0 0 0 false
7133 0 384 0 0 0 false
7150 0 385 0 0 0 false
7167 0 386 0 0 0 false
7185 0 387 0 0 0 false
7203 0 388 1 1 1 false
7220 0 389 1 1 1 false
7238 0 390 1 1 1 false
7256 0 391 1 1 1 false
7275 0 392 1 1 1 false
7293 0 393 1 1 1 false
7313 0 394 0 0 0 false
7332 0 395 0 0 0 false
7350 0 396 0 0 0 false
7368 0 397 0 0 0 false
7386 0 398 0 0 0 false
7404 0 399 0 0 0 false
7421 0 400 0 0 0 false
7439 0 401 0 0 0 false
7458 0 402 0 0 0 false
7476 0 403 0 0 0 false
7494 0 404 0 0 0 false
7513 0 405 0 0 0 false
7533 0 406 0 0 0 false
7552 0 407 0 0 0 false
7572 0 408 0 0 0 false
7592 0 409 0 0 0 false
7610 0 410 0 0 0 false
7627 0 411 0 0 0 false
7647 0 412 0 0 0 false
7665 0 413 0 0 0 false
7683 0 414 0 0 0 false
7700 0 415 0 0 0 false
7719 0 416 0 0 0 false
7738 0 417 0 0 0 false
7757 0 418 0 0 0 false
7775 0 419 0 0 0 false
7793 0 420 0 0 0 false
7811 0 421 0 0 0 false
7829 0 422 0 0 0 false
7848 0 423 0 0 0 false
7867 0 424 0 0 0 false
7885 0 425 0 0 0 false
