# <time> <cycles> <totalmsg> <LB> <UB> <THRESHOLD> <iWantToTerminate>
33 0 1 0 10000 0 false
33 0 2 0 10000 0 false
47 0 3 0 10000 0 false
47 0 4 0 10000 0 false
47 0 5 0 10000 0 false
59 0 6 50 100 50 false
59 0 7 50 100 50 false
59 0 8 50 100 50 false
60 0 9 70 100 70 false
60 0 10 70 100 70 false
60 0 11 70 100 70 false
62 0 12 70 100 70 false
62 0 13 70 100 70 false
62 0 14 70 100 70 false
63 0 15 70 100 70 false
64 0 16 70 100 70 false
64 0 17 70 100 70 false
75 0 18 70 100 70 false
75 0 19 70 100 70 false
75 0 20 70 100 70 false
86 0 21 0 10000 0 false
86 0 22 0 10000 0 false
86 0 23 0 10000 0 false
87 0 24 50 10000 50 false
87 0 25 50 10000 50 false
87 0 26 50 10000 50 false
88 0 27 50 10000 50 false
88 0 28 50 10000 50 false
88 0 29 50 10000 50 false
89 0 30 50 10000 50 false
89 0 31 50 10000 50 false
89 0 32 50 10000 50 false
92 0 33 50 100 50 false
92 0 34 50 100 50 false
92 0 35 50 100 50 false
93 0 36 70 100 70 false
93 0 37 70 100 70 false
93 0 38 70 100 70 false
115 0 39 100 100 100 false
115 0 40 100 100 100 false
115 0 41 100 100 100 false
115 0 42 100 100 100 false
115 0 43 100 100 100 false
116 0 44 100 100 100 false
136 0 45 0 10000 70 false
136 0 46 0 10000 70 false
136 0 47 0 10000 70 false
173 0 48 50 100 70 false
173 0 49 50 100 70 false
173 0 50 50 100 70 false
194 0 51 70 100 70 false
194 0 52 70 100 70 false
194 0 53 70 100 70 false
206 0 54 100 100 100 false
206 0 55 100 100 100 false
206 0 56 100 100 100 false
226 0 57 100 100 100 false
226 0 58 100 100 100 false
226 0 59 100 100 100 false
